iter	Passed	Remaining
0	12	3824
1	23	3446
2	33	3325
3	43	3250
4	54	3243
5	64	3165
6	76	3190
7	85	3133
8	96	3112
9	106	3084
10	118	3100
11	127	3063
12	138	3058
13	148	3038
14	158	3015
15	167	2981
16	176	2946
17	185	2908
18	195	2889
19	205	2870
20	215	2864
21	230	2917
22	246	2962
23	259	2978
24	273	3012
25	290	3066
26	302	3055
27	312	3034
28	323	3018
29	332	2988
30	341	2967
31	351	2944
32	362	2929
33	372	2913
34	381	2889
35	391	2867
36	401	2852
37	411	2836
38	422	2824
39	433	2815
40	442	2798
41	452	2778
42	461	2757
43	471	2742
44	481	2726
45	490	2709
46	500	2694
47	510	2677
48	522	2675
49	534	2673
50	544	2660
51	554	2643
52	564	2629
53	574	2618
54	584	2604
55	594	2590
56	604	2575
57	614	2562
58	623	2546
59	634	2537
60	643	2523
61	653	2508
62	662	2493
63	672	2479
64	682	2466
65	691	2453
66	701	2439
67	710	2425
68	723	2421
69	735	2418
70	747	2411
71	757	2397
72	766	2382
73	776	2370
74	788	2365
75	798	2353
76	810	2346
77	820	2335
78	839	2348
79	850	2338
80	861	2328
81	871	2316
82	881	2304
83	890	2290
84	900	2277
85	909	2263
86	920	2252
87	929	2239
88	938	2225
89	949	2214
90	958	2202
91	969	2191
92	979	2179
93	988	2165
94	997	2152
95	1006	2139
96	1016	2127
97	1027	2117
98	1037	2106
99	1047	2094
100	1058	2084
101	1069	2075
102	1078	2063
103	1088	2051
104	1097	2038
105	1108	2028
106	1117	2015
107	1126	2003
108	1135	1990
109	1145	1977
110	1156	1968
111	1167	1959
112	1176	1947
113	1185	1934
114	1197	1927
115	1206	1914
116	1216	1902
117	1226	1891
118	1236	1880
119	1244	1867
120	1253	1854
121	1267	1849
122	1282	1846
123	1297	1841
124	1310	1834
125	1326	1831
126	1338	1823
127	1350	1815
128	1362	1806
129	1372	1794
130	1381	1782
131	1391	1771
132	1402	1761
133	1414	1752
134	1423	1740
135	1433	1728
136	1442	1716
137	1452	1704
138	1462	1693
139	1472	1682
140	1482	1671
141	1491	1659
142	1506	1653
143	1516	1643
144	1525	1631
145	1536	1620
146	1546	1609
147	1555	1597
148	1565	1586
149	1576	1576
150	1585	1564
151	1596	1554
152	1609	1546
153	1619	1534
154	1627	1522
155	1637	1511
156	1646	1500
157	1656	1488
158	1665	1476
159	1675	1465
160	1685	1454
161	1694	1443
162	1704	1432
163	1714	1421
164	1726	1412
165	1734	1400
166	1744	1389
167	1754	1378
168	1764	1367
169	1777	1359
170	1787	1348
171	1796	1337
172	1806	1325
173	1816	1315
174	1826	1304
175	1836	1293
176	1845	1282
177	1855	1271
178	1865	1260
179	1875	1250
180	1887	1240
181	1897	1230
182	1906	1218
183	1916	1208
184	1926	1197
185	1936	1186
186	1945	1175
187	1953	1164
188	1962	1152
189	1972	1141
190	1983	1131
191	1994	1121
192	2004	1111
193	2018	1102
194	2027	1091
195	2037	1080
196	2047	1070
197	2057	1059
198	2067	1049
199	2077	1038
200	2091	1030
201	2106	1022
202	2116	1011
203	2127	1001
204	2137	990
205	2149	980
206	2158	969
207	2167	958
208	2176	947
209	2186	937
210	2201	928
211	2210	917
212	2220	906
213	2232	897
214	2244	887
215	2254	876
216	2266	866
217	2278	857
218	2290	847
219	2306	838
220	2324	830
221	2341	822
222	2362	815
223	2377	806
224	2388	796
225	2400	786
226	2409	774
227	2419	763
228	2431	753
229	2441	743
230	2452	732
231	2464	722
232	2473	711
233	2484	700
234	2494	689
235	2504	679
236	2516	669
237	2527	658
238	2538	647
239	2547	636
240	2558	626
241	2570	616
242	2582	605
243	2593	595
244	2606	585
245	2617	574
246	2626	563
247	2637	552
248	2649	542
249	2658	531
250	2670	521
251	2680	510
252	2690	499
253	2701	489
254	2713	478
255	2724	468
256	2735	457
257	2745	446
258	2756	436
259	2766	425
260	2777	414
261	2788	404
262	2800	394
263	2811	383
264	2823	372
265	2835	362
266	2844	351
267	2856	341
268	2865	330
269	2875	319
270	2885	308
271	2895	298
272	2905	287
273	2918	276
274	2928	266
275	2938	255
276	2949	244
277	2961	234
278	2970	223
279	2980	212
280	2990	202
281	2999	191
282	3013	181
283	3025	170
284	3035	159
285	3048	149
286	3062	138
287	3073	128
288	3085	117
289	3097	106
290	3109	96
291	3122	85
292	3135	74
293	3145	64
294	3156	53
295	3167	42
296	3179	32
297	3192	21
298	3204	10
299	3214	0
